cadmium,aluminium,chromium,perchlorate,chloramine,arsenic,viruses,radium,lead,uranium,nitrites,barium,flouride,ammonia,selenium,bacteria,silver,is_safe
0.003,3.83,0.22,33.8,4.95,0.04,0.002,6.5,0.125,0.04,1.22,0.33,0.4,8.62,0.01,0.02,0.15,1
0.008,3.43,0.15,36.15,1.49,0.04,0.0,3.91,0.122,0.04,1.79,2.65,0.26,15.58,0.06,0.0,0.48,1
0.09,0.07,0.05,2.53,0.52,0.02,0.008,0.68,0.017,0.06,0.0,0.97,0.02,22.5,0.0,0.0,0.05,0
0.002,0.08,0.0,18.68,6.21,0.01,0.005,1.67,0.005,0.03,1.58,0.17,0.24,14.96,0.04,0.15,0.0,1
0.008,0.07,0.23,59.03,6.1,0.03,0.79,4.29,0.049,0.0,1.4,3.45,1.16,21.84,0.07,0.79,0.08,0
0.006,2.48,0.29,2.64,7.93,0.02,0.0,0.79,0.154,0.0,1.96,2.85,0.57,3.9,0.04,0.0,0.03,1
0.008,2.21,0.47,4.28,3.71,0.02,0.82,7.9,0.12,0.04,1.57,1.4,1.06,29.72,0.04,0.82,0.5,1
0.001,2.82,0.03,43.79,4.08,0.03,0.0,0.56,0.061,0.03,1.16,0.3,1.24,10.11,0.06,0.0,0.21,1
0.007,1.77,0.65,10.44,6.12,0.04,0.008,1.86,0.049,0.05,1.7,2.06,0.96,10.45,0.01,0.32,0.07,1
0.008,4.39,0.19,7.82,4.39,0.01,0.0,1.84,0.034,0.07,1.58,3.41,0.75,5.04,0.07,0.0,0.14,1
0.007,1.65,0.83,37.75,0.35,0.04,0.0,6.78,0.054,0.02,1.13,2.85,0.05,9.08,0.08,0.2,0.34,1
0.04,0.02,0.01,0.77,0.07,0.05,0.008,5.2,0.079,0.05,0.7,0.53,0.87,22.56,0.06,0.0,0.06,0
0.09,0.06,0.03,2.62,0.02,0.02,0.008,0.91,0.022,0.02,0.27,1.67,0.71,24.48,0.09,0.0,0.01,1
0.08,0.08,0.02,0.33,0.06,0.02,0.008,0.34,0.019,0.04,0.05,0.18,0.91,19.03,0.03,0.38,0.0,0
0.08,0.05,0.03,1.17,0.48,0.09,0.0,2.95,0.076,0.05,2.03,0.68,0.61,19.93,0.04,0.0,0.09,0
0.002,0.02,0.43,27.53,7.33,0.05,0.97,5.96,0.1,0.0,1.99,2.46,0.8,8.71,0.05,0.97,0.08,0
0.09,0.05,0.03,1.3,0.32,0.06,0.63,6.13,0.026,0.0,0.94,3.05,0.12,21.73,0.07,0.63,0.0,0
0.002,4.33,0.34,5.61,2.46,0.001,0.0,4.84,0.182,0.05,1.9,1.74,0.91,25.49,0.08,0.0,0.05,1
0.001,2.24,0.4,6.36,7.51,0.03,0.007,6.82,0.112,0.05,1.81,1.92,1.18,1.88,0.05,0.46,0.26,1
0.005,2.72,0.8,22.32,5.37,0.01,0.0,0.2,0.138,0.06,1.93,0.28,0.96,26.81,0.01,0.0,0.01,1
0.09,0.02,0.03,1.75,0.09,0.06,0.004,0.82,0.034,0.02,1.63,0.99,0.85,0.94,0.09,0.44,0.01,0
0.02,0.09,0.02,0.7,0.06,0.04,0.001,0.08,0.144,0.02,0.07,0.54,0.7,13.91,0.06,0.08,0.03,1
0.02,0.06,0.03,6.52,0.43,0.08,0.0,2.27,0.044,0.0,1.76,0.25,1.1,11.9,0.06,0.0,0.04,0
0.07,0.01,0.05,2.84,0.25,0.09,0.6,0.93,0.193,0.04,0.15,0.61,0.03,8.37,0.01,0.0,0.04,0
0.003,0.1,0.54,12.23,1.07,0.02,0.007,2.42,0.067,0.0,1.31,2.77,1.03,23.9,0.05,0.04,0.23,0
0.06,0.06,0.02,2.55,0.18,0.04,0.003,6.94,0.075,0.0,0.12,1.52,0.74,7.61,0.05,0.05,0.04,0
0.006,0.1,0.16,56.14,5.33,0.03,0.87,2.74,0.143,0.02,1.73,1.88,0.12,16.98,0.07,0.87,0.24,0
0.002,2.25,0.36,34.47,4.89,0.02,0.004,3.75,0.086,0.06,1.07,2.16,0.14,12.28,0.01,0.06,0.02,1
0.01,0.02,0.0,0.02,0.15,0.07,0.005,4.4,0.067,0.01,1.4,1.66,1.16,3.14,0.09,0.0,0.02,0
0.07,0.09,0.0,0.52,0.56,0.09,0.008,0.17,0.049,0.05,0.84,0.98,0.96,9.71,0.01,0.0,0.07,1
0.008,1.27,0.84,12.9,6.23,0.03,0.0,2.15,0.018,0.04,1.42,0.04,0.83,19.87,0.03,0.0,0.21,1
0.003,0.79,0.21,29.14,5.54,0.02,0.82,4.72,0.041,0.07,1.29,0.48,1.27,25.24,0.05,0.82,0.2,0
0.01,0.02,0.06,10.05,0.65,0.01,0.75,1.38,0.153,0.07,0.94,1.7,0.01,11.83,0.01,0.0,0.03,0
0.02,0.39,0.81,55.11,6.95,0.56,0.89,7.69,0.001,0.09,2.39,3.2,0.78,18.85,0.01,0.89,0.41,0
0.001,3.44,0.39,1.17,0.75,0.01,0.007,3.75,0.027,0.06,1.78,2.19,0.24,15.67,0.07,0.28,0.02,1
0.01,0.08,0.06,1.5,0.08,0.06,0.0,7.42,0.105,0.04,1.93,0.77,0.26,18.27,0.01,0.0,0.08,0
0.007,0.92,0.82,10.16,2.34,0.04,0.003,6.85,0.105,0.07,1.28,2.29,0.52,13.22,0.01,0.2,0.15,1
0.06,0.02,0.03,0.59,0.09,0.04,0.002,3.05,0.083,0.04,1.1,0.9,1.25,16.13,0.05,0.28,0.03,0
0.07,1.91,0.69,1.91,5.77,0.71,0.003,7.51,0.016,0.01,1.54,3.83,0.21,10.38,0.04,0.35,0.4,0
0.06,0.17,0.28,10.82,4.97,0.09,0.73,4.05,0.059,0.05,1.51,3.45,0.79,1.93,0.06,0.73,0.24,0
0.02,0.09,0.03,1.9,0.04,0.04,0.92,0.52,0.04,0.01,2.17,0.2,1.43,18.54,0.01,0.92,0.06,0
0.03,0.39,0.67,46.86,5.07,0.07,0.008,0.01,0.172,0.02,2.14,1.56,0.08,26.55,0.08,0.1,0.02,1
0.04,0.03,0.09,1.36,0.17,0.02,0.56,0.65,0.174,0.07,0.61,0.95,1.05,9.46,0.06,0.0,0.06,0
0.08,0.03,0.0,4.81,0.42,0.05,0.005,0.54,0.048,0.03,0.55,0.63,1.25,2.19,0.08,0.06,0.04,1
0.01,1.8,0.51,46.35,0.5,0.18,0.0,6.98,0.053,0.07,1.52,2.11,0.69,13.64,0.05,0.0,0.15,0
0.09,0.02,0.0,0.13,0.1,0.05,0.72,2.06,0.013,0.09,0.26,0.87,0.15,25.46,0.06,0.0,0.09,0
0.0,0.09,0.08,5.06,0.25,0.02,0.94,4.99,0.093,0.04,0.85,0.5,0.34,25.78,0.05,0.94,0.03,0
0.09,0.09,0.03,6.75,0.01,0.03,0.72,3.56,0.089,0.03,0.69,1.04,0.19,21.26,0.01,0.0,0.04,0
0.05,0.03,0.05,11.27,0.28,0.1,0.73,0.85,0.18,0.01,0.61,0.27,0.43,28.54,0.02,0.0,0.01,0
0.02,0.06,0.09,7.89,0.16,0.07,0.003,0.83,0.146,0.05,0.41,1.08,0.34,18.91,0.09,0.0,0.04,1
0.007,0.0,0.26,17.72,3.61,0.03,0.003,6.36,0.115,0.06,1.97,1.46,0.42,7.23,0.06,0.15,0.27,1
0.03,0.09,0.05,1.35,0.05,0.0,0.0,4.84,0.182,0.05,1.0,0.61,0.91,6.85,0.0,0.0,0.04,1
0.12,0.05,0.3,28.76,0.76,0.43,0.008,7.21,0.08,0.08,1.79,3.88,1.3,25.48,0.09,0.0,0.22,0
0.06,0.02,0.04,0.34,0.09,0.04,0.008,0.33,0.081,0.03,0.46,0.36,0.37,4.62,0.03,0.03,0.04,0
0.0,0.02,0.08,8.59,0.43,0.01,0.0,1.09,0.158,0.04,1.2,0.13,0.41,12.22,0.03,0.0,0.09,0
0.05,0.02,0.04,4.06,0.0,0.08,0.006,0.74,0.049,0.0,1.43,0.38,1.41,25.34,0.03,0.08,0.06,0
0.02,0.07,0.08,0.09,0.27,0.04,0.007,3.05,0.132,0.04,0.95,0.6,0.64,2.7,0.06,0.0,0.04,1
0.11,0.28,0.25,59.22,3.04,0.24,0.51,4.76,0.001,0.03,1.56,3.86,1.43,21.48,0.05,0.51,0.4,0
0.002,0.07,0.23,11.3,6.2,0.01,0.008,2.08,0.121,0.0,1.57,3.58,1.38,21.97,0.04,0.13,0.08,1
0.04,0.09,0.02,3.06,0.03,0.06,0.004,0.89,0.128,0.02,0.26,0.33,0.76,4.16,0.05,0.0,0.04,0
0.001,0.09,0.42,45.87,3.2,0.03,0.65,0.25,0.042,0.05,1.51,2.36,1.21,16.6,0.06,0.65,0.12,0
0.005,2.74,0.25,33.97,7.97,0.02,0.53,2.2,0.132,0.05,1.14,3.84,0.73,14.81,0.05,0.53,0.05,1
0.001,4.96,0.64,31.08,1.73,0.03,0.69,1.45,0.005,0.05,1.56,3.01,0.64,19.39,0.07,0.69,0.32,1
0.005,4.39,0.62,8.56,4.93,0.02,0.008,6.29,0.011,0.06,1.21,2.5,0.72,29.54,0.1,0.39,0.29,1
0.07,0.09,0.88,44.74,5.73,0.36,0.002,2.3,0.103,0.0,1.54,0.2,1.42,0.04,0.07,0.27,0.0,1
0.004,2.09,0.02,24.8,5.95,0.001,0.66,5.66,0.088,0.02,1.61,1.68,0.53,10.91,0.0,0.66,0.17,1
0.006,1.08,0.88,40.75,2.29,0.04,0.7,6.72,0.081,0.07,1.67,3.9,1.15,1.23,0.07,0.7,0.42,1
0.02,0.02,0.05,0.67,0.26,0.08,0.008,3.4,0.103,0.07,0.4,1.45,1.06,8.59,0.01,0.0,0.06,1
0.05,0.06,0.1,0.24,0.08,0.07,0.0,0.54,0.065,0.06,2.73,0.64,1.14,0.75,0.02,0.0,0.03,0
0.002,3.53,0.7,37.15,4.13,0.04,0.55,0.25,0.164,0.09,1.49,2.34,0.89,5.43,0.08,0.55,0.01,1
0.002,0.71,0.02,23.36,0.12,0.02,0.001,6.3,0.159,0.03,1.81,3.93,0.68,20.24,0.02,0.39,0.39,1
0.001,4.0,0.32,4.59,7.91,0.01,1.0,1.04,0.105,0.03,1.6,0.78,1.04,28.24,0.06,1.0,0.04,1
0.007,2.82,0.51,30.36,2.91,0.03,0.007,0.53,0.152,0.06,1.52,0.76,1.26,23.76,0.06,0.48,0.09,1
0.08,0.1,0.06,7.19,0.03,0.1,0.68,1.22,0.198,0.07,0.46,0.79,1.38,23.63,0.06,0.0,0.04,0
0.006,2.71,0.17,14.16,4.0,0.04,0.005,6.16,0.013,0.08,1.0,3.02,0.91,26.19,0.05,0.38,0.05,1
0.002,4.51,0.02,10.49,3.02,0.03,0.0,7.23,0.151,0.01,1.95,3.67,1.33,11.64,0.08,0.0,0.07,1
0.07,0.01,0.61,9.82,4.14,0.49,0.008,3.51,0.001,0.0,1.78,2.45,0.79,0.02,0.08,0.15,0.21,0
0.02,0.13,0.46,4.5,2.72,0.08,0.008,0.68,0.17,0.02,1.63,2.26,0.66,22.19,0.02,0.09,0.09,1
0.1,0.04,0.09,0.09,0.1,0.04,0.005,1.79,0.084,0.01,0.09,0.46,1.09,20.35,0.06,0.34,0.01,0
0.06,0.1,0.08,11.65,0.12,0.02,0.003,0.31,0.057,0.08,0.57,0.4,0.52,23.25,0.07,0.0,0.01,0
0.004,3.01,0.04,43.22,4.78,0.04,0.005,3.1,0.013,0.01,1.55,0.31,0.2,1.94,0.01,0.45,0.01,1
0.06,0.08,0.01,3.8,0.15,0.03,0.0,4.27,0.169,0.03,1.82,0.77,0.05,1.68,0.09,0.0,0.06,0
0.001,1.69,0.73,31.48,1.01,0.04,0.0,4.79,0.061,0.02,1.37,1.24,0.33,7.18,0.01,0.0,0.24,1
0.001,4.39,0.58,28.11,0.46,0.01,0.0,4.04,0.102,0.03,1.57,1.79,0.05,1.13,0.03,0.0,0.25,1
0.002,2.17,0.76,10.72,4.42,0.01,0.005,0.77,0.037,0.01,1.78,1.93,0.82,8.76,0.0,0.11,0.33,1
0.001,1.77,0.49,3.49,7.18,0.02,0.002,5.83,0.09,0.04,1.72,3.79,0.4,20.46,0.1,0.25,0.24,1
0.07,0.09,0.82,38.62,8.12,0.84,0.77,1.53,0.112,0.06,1.36,3.05,1.2,20.71,0.01,0.77,0.27,0
0.05,0.04,0.09,6.08,0.46,0.05,0.0,1.62,0.004,0.02,0.63,0.65,1.5,19.76,0.09,0.0,0.06,1
0.006,2.36,0.6,15.06,4.47,0.04,0.0,6.35,0.097,0.08,1.34,3.1,0.28,13.67,0.03,0.0,0.29,1
0.006,0.39,0.65,25.23,7.44,0.05,0.75,2.86,0.153,0.07,1.99,3.75,0.01,12.69,0.01,0.75,0.23,1
0.005,4.49,0.32,36.52,4.55,0.05,0.002,6.15,0.135,0.04,1.43,1.87,0.55,4.07,0.04,0.3,0.16,1
0.008,3.36,0.71,29.4,7.58,0.001,0.92,7.19,0.057,0.0,1.28,0.16,0.73,14.44,0.09,0.92,0.2,1
0.006,1.86,0.85,21.46,5.83,0.03,0.003,5.19,0.051,0.08,1.26,0.62,0.97,24.86,0.04,0.49,0.08,1
0.003,0.6,0.44,37.48,3.84,0.01,0.0,1.34,0.128,0.07,1.67,2.56,0.45,24.21,0.01,0.0,0.13,1
0.01,0.09,0.03,7.4,0.02,0.02,0.62,0.52,0.147,0.02,0.68,0.89,0.48,22.05,0.1,0.0,0.09,0
0.002,1.55,0.16,21.94,7.83,0.01,0.52,6.38,0.103,0.0,1.89,3.27,1.07,16.16,0.01,0.52,0.27,1
0.05,0.09,0.06,8.51,0.24,0.03,0.0,0.81,0.02,0.08,0.27,0.6,1.02,27.17,0.07,0.0,0.01,0
0.001,0.24,0.73,39.12,2.59,0.01,0.57,0.43,0.19,0.09,1.81,1.09,0.65,14.45,0.03,0.57,0.39,1
0.08,0.1,0.05,0.46,0.12,0.07,0.0,2.17,0.028,0.09,1.78,0.93,0.72,0.34,0.01,0.28,0.0,0
0.007,3.52,0.32,22.9,1.33,0.04,0.009,4.23,0.023,0.04,1.37,2.46,0.26,2.07,0.06,0.28,0.03,1
0.002,3.67,0.1,12.9,5.4,0.02,0.53,5.69,0.075,0.09,1.01,2.78,0.37,9.92,0.05,0.53,0.38,1
0.03,0.04,0.04,6.15,0.04,0.02,0.008,3.71,0.169,0.01,1.86,0.67,0.13,20.68,0.08,0.43,0.01,0
0.001,1.08,0.54,7.3,2.41,0.02,0.9,2.55,0.024,0.02,1.29,0.35,0.87,14.67,0.06,0.9,0.17,1
0.08,3.69,0.82,19.25,5.65,0.13,0.84,4.18,0.11,0.06,1.64,1.75,0.04,2.23,0.09,0.84,0.07,0
0.003,4.69,0.26,42.56,1.78,0.02,0.0,5.83,0.184,0.07,1.74,2.36,0.08,8.04,0.01,0.0,0.48,1
0.01,0.06,0.08,1.74,0.07,0.03,0.74,0.74,0.197,0.07,1.23,0.73,0.82,26.04,0.1,0.74,0.04,0
0.05,0.08,0.6,28.08,4.26,0.13,0.006,5.06,0.061,0.04,1.57,2.89,0.03,11.37,0.09,0.18,0.22,0
0.13,1.8,0.86,57.2,1.63,0.1,0.61,6.26,0.008,0.06,1.95,4.06,0.59,0.59,0.08,0.61,0.2,0
0.001,1.37,0.09,13.29,5.88,0.02,0.002,4.08,0.148,0.01,1.04,0.75,0.8,6.4,0.06,0.37,0.05,1
0.08,0.02,0.02,0.05,0.27,0.01,0.62,2.18,0.177,0.07,0.17,0.03,0.82,11.97,0.07,0.0,0.07,0
0.0,0.02,0.07,1.65,0.41,0.1,0.0,0.28,0.122,0.01,1.86,0.27,0.79,2.14,0.07,0.0,0.06,0
0.07,0.1,0.08,6.04,0.16,0.03,0.95,2.78,0.014,0.04,0.99,0.22,0.9,9.85,0.1,0.0,0.04,0
0.01,0.01,0.52,14.92,4.63,0.53,0.86,7.82,0.001,0.01,2.89,2.28,0.35,23.13,0.03,0.86,0.4,0
0.009,2.91,0.77,22.24,0.48,0.02,0.71,7.23,0.005,0.0,1.56,0.93,0.57,7.46,0.09,0.71,0.2,1
0.001,3.85,0.82,7.88,4.85,0.03,0.67,0.14,0.067,0.07,1.55,2.75,0.41,16.61,0.04,0.67,0.49,1
0.005,3.27,0.23,8.3,4.57,0.01,0.008,0.34,0.092,0.0,1.76,0.47,0.68,7.34,0.06,0.05,0.34,1
0.004,0.35,0.51,11.39,4.57,0.02,0.89,1.36,0.142,0.08,1.31,0.25,1.1,21.29,0.0,0.89,0.41,1
0.03,0.08,0.61,46.9,0.96,0.71,0.006,0.5,0.107,0.0,1.3,0.9,0.42,26.75,0.04,0.44,0.35,0
0.001,3.31,0.73,39.4,7.22,0.03,0.007,0.49,0.109,0.05,1.07,0.46,1.0,22.07,0.04,0.25,0.47,1
0.06,0.01,0.04,8.65,0.26,0.07,0.0,4.98,0.088,0.05,1.12,0.74,1.29,3.25,0.09,0.0,0.06,0
0.005,0.49,0.65,18.2,2.11,0.04,0.002,2.12,0.136,0.02,1.1,0.26,0.44,28.18,0.09,0.31,0.37,1
0.005,0.08,0.8,22.76,3.95,0.02,0.001,6.66,0.05,0.0,1.28,1.82,0.48,1.34,0.09,0.33,0.16,0
0.06,0.07,0.08,24.18,5.23,0.28,0.001,2.73,0.067,0.0,1.75,2.07,0.03,21.65,0.03,0.17,0.19,0
0.005,3.25,0.8,20.86,2.16,0.01,0.003,1.25,0.116,0.06,1.76,2.49,1.34,3.51,0.08,0.28,0.27,1
0.07,0.06,0.06,0.65,0.06,0.09,0.83,1.67,0.079,0.08,0.44,0.44,0.33,14.46,0.08,0.0,0.01,0
0.007,0.29,0.87,26.27,6.13,0.02,0.79,1.89,0.085,0.08,1.47,2.64,0.37,23.74,0.06,0.79,0.13,1
0.005,0.25,0.85,7.01,5.21,0.01,0.004,4.94,0.15,0.04,1.63,0.88,0.69,22.87,0.02,0.01,0.41,1
0.009,1.75,0.86,25.03,1.55,0.04,0.0,6.26,0.008,0.06,1.61,3.41,0.59,0.69,0.08,0.0,0.2,1
0.12,0.14,0.68,50.4,1.4,0.23,0.003,7.3,0.075,0.04,1.46,3.25,0.49,22.47,0.08,0.11,0.04,0
0.008,4.21,0.03,1.02,2.26,0.01,0.005,7.9,0.044,0.03,1.8,3.94,0.5,17.84,0.04,0.28,0.28,1
0.08,4.47,0.63,47.49,0.85,0.74,0.0,1.83,0.042,0.02,2.07,0.92,1.37,23.41,0.07,0.0,0.03,1
0.001,2.74,0.57,24.43,1.35,0.02,0.0,1.42,0.118,0.07,1.76,1.4,1.39,16.69,0.04,0.0,0.05,1
