aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
0.07,0.06,0.0,0.61,0.09,0.48,0.07,1.41,1.08,0.38,0.002,0.15,0.69,1.88,0.003,7.24,2.34,0.04,0.03,0.04,0
0.94,14.47,0.03,2.88,0.003,0.8,0.43,1.38,0.11,0.67,0.67,0.135,9.75,1.89,0.006,27.17,5.42,0.08,0.19,0.02,1
3.96,21.99,0.04,2.2,0.004,7.65,0.3,0.43,0.9,0.79,0.79,0.199,2.01,1.77,0.001,27.56,7.79,0.09,0.1,0.03,1
0.08,25.11,0.04,0.97,0.06,0.08,0.07,0.09,0.31,0.0,0.004,0.17,18.09,0.75,0.003,0.12,1.88,0.06,0.03,0.07,0
1.27,19.87,0.03,0.04,0.008,6.23,0.84,1.91,0.83,0.0,0.0,0.018,0.45,1.42,0.009,12.9,2.15,0.03,0.21,0.04,1
0.06,13.91,0.06,1.52,0.09,0.04,0.01,1.48,0.54,0.73,0.73,0.126,11.73,0.58,0.007,4.71,0.5,0.02,0.07,0.06,0
0.03,11.87,0.05,0.58,0.09,0.33,0.07,1.78,0.01,0.75,0.75,0.153,4.86,1.99,0.004,3.18,0.69,0.01,0.06,0.07,0
0.05,9.31,0.02,0.41,0.09,0.52,0.08,0.04,0.79,0.0,0.002,0.014,6.83,0.81,0.009,0.52,0.16,0.01,0.01,0.02,1
2.97,12.39,0.55,3.31,0.1,2.35,0.21,1.97,1.36,0.0,0.001,0.06,15.45,1.41,0.004,46.91,0.87,0.03,0.27,0.05,0
0.02,23.24,0.16,3.91,0.05,2.68,0.46,0.4,0.88,0.59,0.59,0.118,7.09,2.16,0.003,36.48,1.75,0.02,0.23,0.06,0
0.05,29.12,0.04,0.35,0.08,0.1,0.04,0.04,0.03,0.0,0.98,0.068,10.9,0.87,0.005,0.39,0.73,0.05,0.07,0.02,0
4.88,26.2,0.09,0.48,0.1,1.55,0.53,0.53,0.88,0.93,0.93,0.076,15.87,1.12,0.009,52.59,6.6,0.05,0.34,0.05,0
0.07,10.12,0.06,1.13,0.03,0.37,0.08,1.07,1.35,0.39,0.003,0.113,14.25,1.24,0.003,0.38,4.33,0.06,0.07,0.04,0
0.02,7.88,0.03,0.22,0.05,0.04,0.07,0.09,0.8,0.1,0.003,0.197,18.74,0.92,0.008,7.48,1.17,0.05,0.08,0.01,0
0.04,0.34,0.01,0.71,0.01,0.3,0.03,0.01,0.57,0.0,0.005,0.065,15.53,0.29,0.008,3.72,3.58,0.03,0.1,0.03,0
0.01,3.72,0.21,1.84,0.12,6.12,0.89,0.05,1.43,0.72,0.72,0.037,5.31,1.52,0.003,44.17,2.69,0.09,0.49,0.0,0
3.62,11.3,0.02,1.51,0.003,5.0,0.54,0.74,0.54,0.45,0.0,0.181,12.69,1.0,0.005,5.01,2.06,0.03,0.15,0.0,1
0.66,5.54,0.35,4.83,0.13,8.34,0.49,0.47,0.89,0.78,0.78,0.038,2.12,1.43,0.009,3.26,3.71,0.02,0.36,0.06,0
0.04,28.34,0.04,0.8,0.03,0.38,0.05,0.02,0.53,0.0,0.007,0.03,6.98,0.97,0.009,2.78,2.34,0.01,0.06,0.09,0
3.2,8.68,0.01,2.64,0.006,6.58,0.01,0.17,0.95,0.0,0.0,0.021,10.39,1.17,0.005,22.12,6.67,0.08,0.24,0.07,1
3.47,6.99,0.03,1.43,0.007,5.98,0.36,1.95,1.48,0.0,0.0,0.183,3.84,1.67,0.005,43.75,7.7,0.06,0.44,0.08,1
1.56,0.04,0.53,0.84,0.12,5.79,0.88,1.71,1.42,0.0,0.0,0.103,16.16,1.51,0.006,44.68,2.3,0.07,0.0,0.0,1
2.79,29.26,0.01,3.19,0.005,6.89,0.41,0.09,0.71,0.84,0.84,0.115,8.6,1.74,0.004,16.31,2.21,0.08,0.19,0.01,1
0.05,15.9,0.06,0.28,0.06,0.26,0.08,1.02,0.03,0.73,0.73,0.138,15.13,1.6,0.002,5.53,1.29,0.03,0.05,0.07,0
0.03,22.84,0.001,0.09,0.004,1.11,0.54,1.21,1.33,0.55,0.55,0.116,12.05,1.58,0.009,21.2,0.46,0.03,0.0,0.03,1
0.01,11.1,0.08,1.35,0.04,0.02,0.09,0.05,0.75,0.0,0.007,0.008,14.25,0.14,0.004,2.38,0.36,0.02,0.01,0.09,0
1.36,28.23,0.04,0.29,0.008,0.63,0.36,0.06,1.03,0.44,0.007,0.142,1.69,1.52,0.002,3.23,1.15,0.09,0.42,0.02,1
0.08,23.51,0.04,0.82,0.003,0.54,0.63,1.33,1.37,0.09,0.008,0.042,11.36,1.95,0.001,36.15,1.83,0.07,0.03,0.02,1
2.89,18.82,0.05,3.77,0.008,5.99,0.54,0.79,0.54,0.2,0.009,0.126,17.56,1.82,0.009,17.54,4.33,0.1,0.05,0.02,1
0.03,9.83,0.09,0.14,0.0,0.23,0.04,0.06,0.66,0.0,0.006,0.123,1.73,0.57,0.002,0.12,0.53,0.04,0.02,0.03,1
4.98,26.21,0.04,0.51,0.001,5.89,0.73,0.87,0.29,0.58,0.58,0.195,8.27,1.9,0.007,20.9,7.52,0.06,0.26,0.02,1
0.07,29.63,0.03,0.4,0.04,0.13,0.04,1.46,1.46,0.76,0.76,0.083,4.07,1.37,0.009,0.03,0.61,0.07,0.07,0.06,0
4.92,26.16,0.3,1.06,0.08,2.45,0.08,1.81,0.92,0.7,0.7,0.018,0.41,2.14,0.008,34.6,4.98,0.03,0.3,0.01,0
1.45,23.77,0.02,1.53,0.005,4.18,0.53,1.99,0.81,0.19,0.001,0.098,3.77,1.65,0.003,2.08,4.51,0.1,0.07,0.02,1
0.06,3.77,0.05,0.42,0.03,0.11,0.08,0.05,1.46,0.0,0.75,0.005,7.38,0.49,0.002,1.71,6.52,0.07,0.1,0.07,0
0.36,9.62,0.04,2.24,0.001,5.21,0.83,0.73,0.64,0.0,0.0,0.089,17.91,1.91,0.006,1.56,2.84,0.04,0.41,0.06,1
0.08,20.09,0.07,0.48,0.09,0.42,0.09,1.57,1.17,0.26,0.004,0.135,11.54,0.42,0.009,0.28,0.66,0.06,0.05,0.0,0
0.09,7.25,0.09,0.15,0.04,0.11,0.02,0.06,0.58,0.0,0.8,0.121,1.88,0.79,0.001,3.75,0.12,0.08,0.04,0.07,0
3.52,2.07,0.04,2.46,0.007,1.33,0.32,0.94,0.26,0.28,0.009,0.023,10.78,1.37,0.003,22.9,4.23,0.06,0.03,0.04,1
0.09,0.04,0.36,0.2,0.07,5.73,0.88,1.71,1.42,0.27,0.002,0.103,17.03,1.54,0.006,44.74,2.3,0.07,0.0,0.0,1
0.05,28.45,1.0,2.7,0.08,4.7,0.77,0.05,0.4,0.59,0.59,0.178,5.46,1.31,0.004,25.22,4.83,0.02,0.1,0.02,1
0.09,23.77,0.06,0.12,0.06,0.06,0.02,1.09,0.97,0.0,0.003,0.051,4.08,0.6,0.006,0.07,4.16,0.04,0.01,0.08,1
0.16,2.71,1.0,3.45,0.09,4.88,0.18,1.06,1.08,0.15,0.001,0.189,7.54,1.87,0.007,25.74,0.86,0.1,0.41,0.0,0
0.02,7.41,0.01,0.7,0.03,0.04,0.0,0.03,0.08,0.0,0.52,0.022,12.05,0.52,0.009,10.85,1.98,0.05,0.05,0.07,0
0.23,10.42,0.05,3.89,0.002,6.83,0.2,0.07,0.73,0.0,0.0,0.157,10.83,1.84,0.006,16.47,1.34,0.03,0.06,0.04,1
0.05,24.06,0.04,0.24,0.06,0.08,0.0,1.67,0.5,0.89,0.89,0.062,7.04,1.09,0.007,0.84,2.71,0.1,0.02,0.04,0
0.05,28.82,0.61,1.89,0.12,6.43,0.35,1.02,1.24,0.44,0.001,0.197,10.6,1.77,0.002,36.6,7.37,0.08,0.36,0.09,0
3.87,15.72,0.02,3.28,0.001,3.16,0.07,0.67,0.08,0.0,0.0,0.123,3.28,1.72,0.0,5.54,0.32,0.03,0.06,0.01,1
0.04,0.88,0.48,1.72,0.13,4.58,0.24,1.66,0.64,0.1,0.002,0.124,12.44,1.3,0.007,32.69,3.65,0.05,0.37,0.02,0
0.42,18.15,0.02,0.92,0.004,3.76,0.31,1.6,0.52,0.0,0.0,0.125,9.29,1.43,0.002,36.76,2.38,0.04,0.31,0.01,1
2.74,16.69,0.02,1.4,0.001,1.35,0.57,1.43,1.39,0.0,0.0,0.118,5.46,1.76,0.001,24.43,1.42,0.04,0.05,0.07,1
3.13,0.25,0.02,3.58,0.002,0.81,0.83,0.3,1.24,0.51,0.51,0.098,10.9,1.2,0.003,18.64,1.32,0.04,0.02,0.05,1
0.0,17.02,0.0,0.57,0.03,0.32,0.06,0.08,0.54,0.0,0.005,0.147,8.51,0.68,0.0,4.61,0.08,0.0,0.03,0.0,1
0.05,0.11,0.1,0.44,0.05,0.07,0.01,1.4,0.44,0.07,0.007,0.15,10.3,1.17,0.005,14.05,2.11,0.02,0.04,0.08,0
1.6,16.06,0.28,3.53,0.13,7.98,0.16,0.58,1.07,0.0,0.52,0.103,16.06,2.86,0.005,30.67,6.38,0.01,0.27,0.0,0
0.09,14.35,0.04,1.53,0.06,0.5,0.05,1.3,0.5,0.1,0.008,0.036,2.65,0.51,0.008,0.01,0.28,0.01,0.04,0.02,1
2.04,22.26,0.03,1.79,0.005,5.98,0.7,1.92,1.36,0.94,0.94,0.128,7.67,1.54,0.008,24.13,0.85,0.07,0.36,0.03,1
2.18,22.69,0.04,3.61,0.001,1.66,0.33,1.68,0.48,0.62,0.62,0.147,17.79,1.49,0.004,34.46,1.38,0.1,0.28,0.02,0
3.79,26.13,0.01,3.47,0.005,2.99,0.72,0.17,0.59,0.4,0.008,0.153,11.37,1.44,0.008,9.33,1.3,0.05,0.27,0.07,1
4.39,18.91,0.04,0.73,0.003,2.92,0.41,1.26,1.04,0.0,0.0,0.2,16.09,1.23,0.005,4.79,4.52,0.06,0.45,0.05,1
0.08,6.24,0.07,0.84,0.02,0.54,0.02,0.33,0.82,0.0,0.004,0.093,1.51,0.28,0.004,0.35,0.59,0.03,0.08,0.05,1
1.75,0.69,0.04,3.41,0.009,1.55,0.86,0.26,0.59,0.0,0.0,0.008,12.69,1.61,0.001,25.03,6.26,0.08,0.2,0.06,1
0.56,27.93,0.03,3.58,0.007,7.67,0.27,0.69,1.39,0.0,0.0,0.005,8.17,1.46,0.005,0.07,3.37,0.08,0.13,0.0,1
4.96,5.38,0.02,3.7,0.002,6.39,0.01,0.29,1.14,0.0,0.0,0.174,9.12,1.1,0.006,21.71,0.22,0.04,0.06,0.09,1
0.07,23.59,0.01,3.6,0.001,3.37,0.11,1.17,0.27,0.26,0.005,0.013,17.62,1.97,0.001,54.7,4.29,0.02,0.42,0.08,0
0.09,14.47,0.09,0.13,0.01,0.04,0.06,0.08,1.15,0.0,0.69,0.121,2.47,0.92,0.003,0.81,0.96,0.1,0.02,0.03,0
0.1,9.85,0.03,0.22,0.07,0.16,0.08,0.01,0.9,0.0,0.95,0.014,17.66,0.99,0.007,6.04,2.78,0.1,0.04,0.04,0
4.32,4.93,0.01,0.55,0.006,6.25,0.65,0.2,0.86,0.0,0.0,0.191,18.68,1.68,0.007,4.4,3.49,0.0,0.43,0.02,1
2.79,9.54,0.04,1.72,0.005,6.89,0.56,1.15,0.77,0.77,0.77,0.019,8.61,1.93,0.0,31.13,1.95,0.03,0.32,0.0,1
3.83,8.62,0.04,0.33,0.003,4.95,0.22,1.09,0.4,0.02,0.002,0.125,7.1,1.22,0.008,33.8,6.5,0.01,0.15,0.04,1
0.02,23.6,0.04,1.61,0.0,0.07,0.06,1.27,0.21,0.0,0.67,0.092,5.81,0.71,0.01,5.04,0.32,0.08,0.05,0.09,0
4.74,18.82,0.02,1.6,0.001,2.55,0.82,0.51,0.92,0.14,0.006,0.072,1.59,1.27,0.01,28.2,7.31,0.06,0.42,0.06,1
0.07,1.44,0.38,3.73,0.05,4.53,0.45,0.04,1.05,0.97,0.97,0.001,6.52,1.45,0.006,44.22,6.28,0.01,0.42,0.08,0
0.08,9.06,0.01,0.9,0.03,0.04,0.09,0.85,1.21,0.0,0.0,0.103,13.76,2.04,0.001,2.28,0.93,0.07,0.06,0.03,0
0.43,26.42,0.03,0.45,0.002,7.12,0.25,1.4,0.07,0.74,0.74,0.145,15.12,1.17,0.003,4.14,2.63,0.08,0.22,0.06,1
0.09,10.28,0.16,0.39,0.07,7.54,0.89,0.52,0.32,0.31,0.002,0.11,4.54,2.08,0.0,48.55,4.15,0.01,0.1,0.02,1
1.22,1.36,0.01,3.2,0.001,5.72,0.45,1.45,0.52,0.18,0.003,0.088,0.86,1.51,0.007,49.49,6.59,0.01,0.34,0.01,1
1.27,10.06,0.05,0.75,0.008,6.43,0.19,0.39,1.35,0.0,0.0,0.158,0.9,1.34,0.009,41.53,4.71,0.01,0.22,0.07,1
2.41,23.26,0.03,3.56,0.008,6.26,0.73,1.59,0.27,0.0,0.0,0.183,8.21,1.95,0.006,1.88,3.24,0.06,0.09,0.07,1
2.06,15.16,0.03,3.04,0.007,1.78,0.48,0.75,0.09,0.84,0.84,0.183,11.36,1.98,0.001,31.24,3.6,0.03,0.42,0.05,1
1.6,11.2,0.2,3.41,0.12,7.76,0.03,0.1,1.38,0.26,0.005,0.033,8.02,1.94,0.007,11.71,2.42,0.09,0.26,0.02,0
0.03,3.34,0.65,1.07,0.09,5.62,0.19,0.02,1.43,0.97,0.97,0.001,2.22,1.19,0.002,50.93,7.36,0.03,0.1,0.0,0
3.61,18.91,0.02,2.11,0.009,6.53,0.38,0.67,1.26,0.38,0.007,0.105,18.85,1.67,0.0,3.13,2.22,0.08,0.46,0.02,1
0.06,22.9,0.06,1.58,0.07,0.06,0.03,0.07,1.43,0.0,0.007,0.097,8.12,0.61,0.007,3.03,0.89,0.05,0.04,0.01,1
0.9,10.36,0.001,2.47,0.008,4.76,0.17,1.29,1.01,0.03,0.006,0.013,13.77,1.18,0.002,36.46,0.49,0.09,0.07,0.09,1
3.02,8.27,0.41,2.77,0.12,0.76,0.69,1.05,0.8,0.1,0.003,0.197,18.99,1.09,0.008,24.7,4.25,0.05,0.22,0.01,0
0.22,16.76,0.02,1.37,0.007,6.4,0.49,0.82,1.24,0.83,0.83,0.109,4.79,1.46,0.01,30.42,0.08,0.03,0.31,0.01,1
0.1,25.21,0.01,2.13,0.003,1.22,0.52,0.4,0.59,0.61,0.61,0.04,18.49,1.38,0.01,18.52,0.05,0.03,0.05,0.02,1
0.01,0.72,0.08,0.87,0.09,0.05,0.01,0.49,1.15,0.7,0.7,0.081,10.07,0.66,0.004,0.15,1.51,0.07,0.08,0.07,0
4.71,2.47,0.72,3.79,0.08,7.38,0.32,0.13,0.3,0.0,0.003,0.05,16.68,2.07,0.005,58.67,1.94,0.01,0.41,0.0,0
0.07,11.23,0.04,1.22,0.03,0.16,0.03,1.18,0.88,0.0,0.001,0.032,4.07,0.98,0.003,1.28,0.51,0.06,0.03,0.07,1
2.07,9.21,0.35,2.96,0.01,0.97,0.73,1.49,1.45,0.0,0.009,0.159,3.29,1.36,0.001,4.47,5.52,0.04,0.39,0.0,0
1.51,0.14,0.02,0.06,0.003,5.71,0.88,1.71,1.42,0.27,0.002,0.103,16.16,1.25,0.006,17.24,2.3,0.07,0.0,0.0,1
0.05,9.19,0.03,1.73,0.05,0.26,0.0,1.76,0.56,0.5,0.5,0.096,6.32,1.43,0.002,2.14,0.12,0.1,0.07,0.01,0
0.03,28.54,0.1,0.27,0.05,0.28,0.05,0.04,0.43,0.0,0.73,0.18,9.98,0.61,0.009,11.27,0.85,0.02,0.01,0.01,0
0.04,20.35,0.04,0.46,0.1,0.1,0.09,0.83,1.09,0.34,0.005,0.084,6.64,0.09,0.001,0.09,1.79,0.06,0.01,0.01,0
0.1,27.79,0.03,0.76,0.09,0.27,0.1,0.01,0.43,0.0,0.007,0.033,6.24,0.34,0.001,6.56,1.59,0.01,0.09,0.05,1
0.09,9.73,0.07,0.69,0.04,0.24,0.07,1.89,1.18,0.75,0.75,0.092,7.08,1.66,0.002,3.7,0.96,0.07,0.02,0.07,0
0.02,3.05,0.13,2.6,0.03,3.6,0.36,0.03,0.64,0.18,0.007,0.001,4.76,1.95,0.004,38.76,5.81,0.06,0.34,0.04,0
3.18,19.59,0.04,0.79,0.007,6.3,0.31,1.91,0.96,0.14,0.002,0.132,16.05,1.09,0.01,49.72,5.19,0.02,0.0,0.02,0
0.07,23.39,0.09,0.34,0.03,0.29,0.08,0.09,0.43,0.04,0.003,0.089,14.77,0.29,0.005,0.46,3.2,0.03,0.06,0.03,0
