aluminium,cadmium,chromium,arsenic,chloramine,perchlorate,radium,nitrates,barium,bacteria,silver,selenium,ammonia,viruses,uranium,is_safe
0.24,0.001,0.73,0.01,2.59,39.12,0.43,7.01,1.09,0.57,0.39,0.03,14.45,0.57,0.09,1
0.06,0.02,0.03,0.08,0.43,6.52,2.27,6.95,0.25,0.0,0.04,0.06,11.9,0.0,0.0,0
0.96,0.006,0.18,0.001,0.2,0.9,2.77,10.84,1.17,0.03,0.43,0.03,5.11,0.008,0.03,1
0.01,0.04,0.3,0.71,7.77,47.98,7.79,2.07,2.92,0.79,0.1,0.09,21.89,0.79,0.03,0
0.04,0.09,0.49,0.88,6.72,38.83,3.58,17.98,4.46,0.72,0.49,0.03,27.51,0.72,0.04,0
0.71,0.003,0.69,0.04,3.45,35.17,0.66,1.73,1.4,0.3,0.05,0.04,9.9,0.006,0.03,1
3.69,0.008,0.8,0.05,6.5,14.24,3.95,9.8,2.01,0.31,0.44,0.09,12.46,0.004,0.07,1
0.01,0.007,0.11,0.02,2.99,39.31,2.18,18.7,0.52,0.13,0.01,0.04,13.74,0.008,0.02,1
0.42,0.004,0.31,0.02,3.76,36.76,2.38,9.29,0.92,0.0,0.31,0.04,18.15,0.0,0.01,1
2.95,0.05,0.37,0.11,4.65,5.04,7.6,1.37,3.77,0.0,0.48,0.08,1.56,0.0,0.02,0
0.04,0.07,0.08,0.06,0.16,3.32,3.85,1.42,0.8,0.0,0.1,0.01,7.97,0.53,0.02,0
0.09,0.07,0.82,0.84,8.12,38.62,1.53,10.31,3.05,0.77,0.27,0.01,20.71,0.77,0.06,0
3.27,0.005,0.23,0.01,4.57,8.3,0.34,13.92,0.47,0.05,0.34,0.06,7.34,0.008,0.0,1
0.04,0.04,0.02,0.06,0.59,1.4,0.03,1.51,0.28,0.29,0.03,0.03,6.2,0.004,0.05,0
0.87,0.003,0.12,0.04,3.71,36.59,7.15,1.58,1.91,0.99,0.44,0.0,6.54,0.99,0.03,1
0.06,0.05,0.02,0.02,0.08,0.23,0.05,0.35,0.97,0.0,0.06,0.03,25.82,0.7,0.01,0
0.97,0.1,0.82,0.09,2.47,35.2,6.85,4.0,3.12,0.0,0.15,0.01,13.12,0.003,0.07,0
0.08,0.07,0.01,0.07,0.02,0.23,1.74,15.32,0.8,0.0,0.09,0.05,21.54,0.002,0.04,0
2.59,0.002,0.07,0.001,6.45,46.13,2.35,11.34,1.99,0.79,0.31,0.01,5.8,0.79,0.06,0
0.06,0.08,0.01,0.03,0.01,6.28,0.71,5.88,0.65,0.0,0.01,0.06,20.42,0.005,0.01,1
0.22,0.001,0.88,0.03,1.79,30.27,1.91,11.82,2.14,0.0,0.29,0.08,18.53,0.0,0.06,1
3.0,0.001,0.39,0.01,2.14,17.04,2.67,17.64,3.25,0.65,0.42,0.04,11.13,0.65,0.08,1
0.09,0.02,0.04,0.02,0.05,1.82,4.63,15.24,0.62,0.04,0.08,0.03,0.42,0.003,0.03,0
3.48,0.002,0.19,0.04,4.77,28.76,7.36,2.17,0.38,0.97,0.1,0.03,3.44,0.97,0.0,1
0.27,0.001,0.32,0.03,5.98,1.12,0.05,14.05,1.31,0.95,0.02,0.06,11.62,0.95,0.05,1
4.6,0.09,0.34,0.6,5.93,40.7,4.88,0.84,4.04,0.81,0.04,0.08,29.04,0.81,0.01,1
0.36,0.11,0.48,0.96,2.18,14.96,3.6,11.94,3.52,0.84,0.42,0.03,15.06,0.84,0.05,0
4.0,0.001,0.32,0.01,7.91,4.59,1.04,4.38,0.78,1.0,0.04,0.06,28.24,1.0,0.03,1
3.57,0.001,0.61,0.04,5.14,3.3,7.53,7.08,0.86,0.44,0.06,0.05,18.23,0.007,0.05,1
3.73,0.008,0.69,0.04,1.87,40.92,6.53,10.1,0.17,0.66,0.07,0.02,4.69,0.66,0.09,1
3.77,0.01,0.71,0.28,2.13,48.82,0.6,16.18,1.71,0.11,0.13,0.09,2.38,0.005,0.03,0
2.75,0.13,0.48,0.98,1.43,39.43,4.51,18.39,3.95,0.0,0.05,0.06,14.03,0.005,0.02,1
0.04,0.05,0.03,0.08,0.01,1.19,0.55,2.73,0.88,0.33,0.05,0.06,3.79,0.005,0.05,0
0.09,0.007,0.32,0.001,4.05,46.81,2.31,1.41,2.43,0.01,0.03,0.0,0.43,0.004,0.02,1
0.02,0.09,0.09,0.09,0.12,1.88,0.55,16.51,0.34,0.46,0.02,0.03,23.34,0.002,0.06,0
0.03,0.06,0.01,0.03,0.09,3.6,0.2,8.47,1.05,0.28,0.09,0.01,18.24,0.003,0.04,0
2.69,0.06,0.72,0.92,7.02,22.91,1.16,4.97,4.4,0.84,0.01,0.07,6.42,0.84,0.0,1
3.6,0.003,0.08,0.03,1.44,32.55,5.78,13.75,1.92,0.39,0.04,0.08,8.24,0.008,0.07,1
4.41,0.02,0.55,0.95,8.01,23.1,7.87,1.81,4.14,0.99,0.31,0.02,26.35,0.99,0.04,0
4.09,0.07,0.01,0.66,1.62,33.59,2.06,18.08,0.92,0.0,0.07,0.04,17.45,0.72,0.06,0
1.62,0.001,0.11,0.01,3.07,3.47,6.28,1.72,1.46,0.33,0.47,0.09,6.54,0.001,0.01,1
0.24,0.1,0.05,0.31,7.89,14.52,0.53,17.72,2.56,0.0,0.06,0.0,5.0,0.61,0.01,1
0.1,0.006,0.16,0.03,5.33,56.14,2.74,13.48,1.88,0.87,0.24,0.07,16.98,0.87,0.02,0
2.74,0.005,0.25,0.02,7.97,33.97,2.2,4.13,3.84,0.53,0.05,0.05,14.81,0.53,0.05,1
0.07,0.01,0.06,0.02,0.09,0.03,2.3,0.41,3.52,0.0,0.02,0.08,19.21,0.64,0.05,0
0.09,0.001,0.47,0.04,3.58,32.48,1.45,12.75,3.61,0.82,0.31,0.02,12.26,0.82,0.04,1
0.05,0.05,0.08,0.1,0.01,5.54,0.13,18.33,0.98,0.0,0.07,0.02,18.27,0.003,0.06,0
0.1,0.008,0.34,0.001,0.79,47.93,1.23,10.33,1.6,0.5,0.01,0.06,9.79,0.5,0.02,1
4.98,0.01,0.57,0.38,3.18,38.13,1.73,0.64,0.45,0.28,0.43,0.05,8.26,0.0,0.04,0
3.82,0.001,0.23,0.01,3.85,14.98,6.13,5.54,0.84,0.05,0.48,0.03,13.59,0.008,0.05,1
0.08,0.04,0.09,0.14,3.16,27.73,0.19,17.28,3.75,0.11,0.29,0.07,17.55,0.003,0.02,0
2.9,0.005,0.37,0.05,3.69,53.46,7.6,0.6,2.79,0.39,0.48,0.08,1.66,0.001,0.02,1
1.16,0.002,0.44,0.05,2.56,3.18,2.08,9.91,1.29,0.0,0.5,0.06,29.37,0.0,0.08,1
0.17,0.06,0.28,0.09,4.97,10.82,4.05,4.96,3.45,0.73,0.24,0.06,1.93,0.73,0.05,0
4.33,0.002,0.34,0.001,2.46,5.61,4.84,15.37,1.74,0.0,0.05,0.08,25.49,0.0,0.05,1
0.06,0.003,0.88,0.02,5.71,17.24,2.3,16.16,0.06,0.27,0.0,0.07,0.14,0.002,0.0,1
0.42,0.008,0.83,0.01,0.9,13.9,4.86,2.67,0.65,0.23,0.21,0.0,3.22,0.007,0.05,1
0.02,0.09,0.06,0.0,0.12,2.12,0.4,6.23,0.71,0.0,0.06,0.06,11.63,0.0,0.07,0
1.78,0.03,0.07,0.87,4.04,19.67,3.75,16.79,3.93,0.0,0.32,0.07,12.22,0.0,0.02,0
0.12,0.03,0.33,0.58,1.16,45.08,7.85,7.67,0.78,0.01,0.13,0.06,3.9,0.0,0.08,0
0.02,0.008,0.11,0.01,6.34,29.22,6.02,7.5,2.27,0.07,0.35,0.03,22.48,0.001,0.07,0
0.17,0.008,0.19,0.01,3.35,46.32,2.28,0.61,1.13,0.67,0.35,0.1,22.39,0.67,0.08,0
0.1,0.001,0.06,0.001,7.85,41.23,1.8,2.65,3.32,0.93,0.09,0.04,2.22,0.93,0.01,1
0.31,0.009,0.89,0.04,7.37,13.04,2.95,0.54,1.42,0.0,0.02,0.04,29.31,0.0,0.05,1
3.46,0.006,0.49,0.01,3.7,18.51,5.73,16.82,1.67,0.29,0.18,0.07,4.97,0.006,0.05,1
0.43,0.002,0.25,0.03,7.12,4.14,2.63,15.12,0.45,0.74,0.22,0.08,26.42,0.74,0.06,1
0.01,0.04,0.04,0.27,4.81,24.29,3.1,16.98,0.49,0.45,0.01,0.01,1.84,0.005,0.01,1
0.02,0.05,0.07,0.03,0.04,7.48,1.17,18.74,0.22,0.1,0.08,0.05,7.88,0.003,0.01,0
0.06,0.06,0.02,0.04,0.18,2.55,6.94,4.26,1.52,0.05,0.04,0.05,7.61,0.003,0.0,0
0.79,0.003,0.21,0.02,5.54,29.14,4.72,16.88,0.48,0.82,0.2,0.05,25.24,0.82,0.07,0
0.06,0.01,0.08,0.1,0.08,1.41,0.46,12.89,0.28,0.0,0.08,0.03,6.66,0.0,0.03,0
0.02,0.05,0.46,0.16,2.68,36.48,1.75,7.09,3.91,0.59,0.23,0.02,23.24,0.59,0.06,0
0.24,0.03,0.54,0.55,1.6,11.37,0.46,12.96,0.43,0.55,0.0,0.03,22.74,0.55,0.03,1
4.57,0.001,0.36,0.001,7.87,4.77,3.95,13.88,1.77,0.0,0.46,0.05,18.17,0.0,0.0,1
2.75,0.004,0.89,0.03,6.12,12.21,2.69,4.41,1.69,0.0,0.49,0.09,3.82,0.0,0.0,1
0.07,0.0,0.04,0.0,0.03,5.09,1.69,3.45,0.42,0.07,0.07,0.03,11.01,0.006,0.05,0
1.17,0.12,0.66,0.59,3.08,4.98,1.18,3.12,2.62,0.0,0.42,0.01,9.82,0.0,0.01,0
1.75,0.001,0.51,0.01,0.19,8.65,6.98,1.08,1.36,0.82,0.15,0.05,13.74,0.82,0.07,1
0.02,0.002,0.01,0.02,6.39,21.71,0.22,9.12,3.7,0.77,0.06,0.04,5.38,0.77,0.09,0
0.03,0.11,0.51,0.79,7.98,26.8,4.0,8.71,3.64,0.35,0.11,0.06,25.43,0.004,0.0,0
0.07,0.06,0.08,0.02,0.25,0.98,4.86,18.78,0.81,0.0,0.01,0.05,8.09,0.97,0.0,0
3.47,0.01,0.2,0.33,2.43,40.09,2.61,4.84,1.81,0.68,0.08,0.03,19.62,0.68,0.04,0
2.54,0.002,0.18,0.01,4.52,4.32,4.82,18.01,1.17,0.55,0.15,0.04,27.03,0.55,0.01,1
0.04,0.02,0.03,0.04,0.09,3.45,3.77,2.29,0.82,0.0,0.03,0.09,6.41,0.001,0.01,1
0.01,0.002,0.75,0.04,3.82,42.42,5.34,6.22,3.38,0.49,0.03,0.04,7.23,0.008,0.06,0
0.03,0.09,0.07,0.05,0.33,3.18,0.69,4.86,0.58,0.75,0.06,0.01,11.87,0.75,0.07,0
0.04,0.03,0.02,0.06,0.08,0.43,0.12,7.47,1.79,0.0,0.04,0.06,11.47,0.002,0.05,1
0.07,0.03,0.08,0.1,0.12,1.36,0.18,8.64,1.13,0.0,0.06,0.07,13.86,0.007,0.01,1
0.02,0.08,0.06,0.06,0.07,10.86,0.78,12.34,1.49,0.0,0.02,0.07,24.68,0.67,0.0,0
0.09,0.0,0.04,0.04,0.45,12.29,0.69,4.41,0.51,0.0,0.0,0.04,28.54,0.97,0.06,0
2.96,0.09,0.06,0.1,6.62,44.09,7.92,10.91,1.77,0.51,0.09,0.08,19.49,0.51,0.03,0
0.06,0.11,0.89,0.24,6.66,26.87,4.06,13.78,3.84,0.0,0.33,0.1,25.62,0.001,0.03,0
1.01,0.003,0.3,0.02,6.76,24.1,3.17,17.64,1.83,0.0,0.26,0.05,12.52,0.0,0.05,1
0.07,0.01,0.07,0.09,0.05,2.13,1.97,9.01,0.37,0.0,0.08,0.07,27.4,0.006,0.01,0
1.69,0.001,0.73,0.04,1.01,31.48,4.79,1.87,1.24,0.0,0.24,0.01,7.18,0.0,0.02,1
1.02,0.11,0.1,0.72,2.32,15.87,0.1,11.61,2.9,0.0,0.09,0.07,23.9,0.002,0.01,1
0.39,0.03,0.67,0.07,5.07,46.86,0.01,17.61,1.56,0.1,0.02,0.08,26.55,0.008,0.02,1
0.08,0.06,0.05,0.1,0.35,0.42,1.58,9.87,1.19,0.0,0.03,0.03,23.49,0.007,0.05,1
0.17,0.002,0.41,0.04,6.24,37.72,7.53,18.06,0.72,0.07,0.15,0.05,17.35,0.008,0.05,0
2.04,0.005,0.7,0.03,5.98,24.13,0.85,7.67,1.79,0.94,0.36,0.07,22.26,0.94,0.03,1
2.02,0.12,0.2,0.66,3.7,31.93,4.64,6.06,3.11,0.94,0.05,0.04,17.13,0.94,0.02,1
0.06,0.02,0.06,0.07,0.04,0.21,2.42,8.39,0.04,0.0,0.02,0.09,3.53,0.0,0.02,0
0.01,0.07,0.01,0.04,0.19,4.17,2.71,5.96,0.54,0.51,0.09,0.05,21.25,0.51,0.03,0
0.01,0.08,0.07,0.1,0.61,0.07,0.26,15.12,0.07,0.74,0.01,0.08,25.95,0.74,0.06,0
4.39,0.001,0.58,0.01,0.46,28.11,4.04,15.03,1.79,0.0,0.25,0.03,1.13,0.0,0.03,1
0.09,0.07,0.05,0.09,0.55,0.36,1.7,2.98,0.67,0.65,0.07,0.08,19.73,0.65,0.04,0
0.23,0.005,0.04,0.03,7.72,16.15,5.97,10.85,3.01,0.52,0.2,0.08,23.47,0.52,0.01,0
4.34,0.11,0.5,0.39,0.45,42.6,3.61,16.1,0.95,0.0,0.05,0.05,21.58,0.59,0.02,1
3.41,0.05,0.17,0.32,3.75,53.77,4.78,1.52,4.5,0.0,0.1,0.03,22.45,0.001,0.01,1
0.02,0.002,0.43,0.05,7.33,27.53,5.96,18.78,2.46,0.97,0.08,0.05,8.71,0.97,0.0,0
0.21,0.003,0.13,0.01,1.07,17.62,2.65,5.92,3.15,0.28,0.4,0.07,27.52,0.004,0.01,0
0.04,0.09,0.54,0.33,5.57,29.09,4.31,15.95,1.63,0.94,0.06,0.01,-0.01,0.94,0.01,1
1.5,0.004,0.09,0.04,3.37,23.89,1.4,17.71,2.68,0.0,0.41,0.04,9.91,0.0,0.02,1
3.29,0.006,0.36,0.01,4.36,30.49,2.96,14.1,2.39,0.91,0.33,0.04,14.1,0.91,0.0,1
0.05,0.03,0.09,0.01,0.25,10.19,0.97,4.09,1.58,0.07,0.07,0.09,19.75,0.008,0.02,0
0.01,0.01,0.04,0.06,0.2,0.04,0.98,3.33,0.46,0.0,0.03,0.04,24.68,0.003,0.08,1
0.09,0.09,0.08,0.04,0.03,3.85,2.49,1.91,0.32,0.75,0.1,0.08,22.77,0.75,0.06,0
3.56,0.04,0.52,0.57,2.03,16.22,1.7,6.75,1.0,0.05,0.04,0.03,0.8,0.008,0.03,1
0.05,0.08,0.07,0.1,0.17,1.51,3.81,2.98,0.26,0.0,0.05,0.02,9.68,0.006,0.02,1
0.06,0.04,0.07,0.03,0.15,5.7,0.7,10.27,0.74,0.0,0.03,0.04,0.18,0.004,0.08,0
0.08,0.01,0.06,0.06,0.08,1.5,7.42,4.89,0.77,0.0,0.08,0.01,18.27,0.0,0.04,0
0.08,0.06,0.03,0.03,0.04,8.49,0.25,1.08,0.88,0.03,0.1,0.07,7.51,0.007,0.04,1
0.02,0.001,0.55,0.02,7.3,6.43,5.57,15.67,1.8,0.18,0.03,0.04,27.71,0.008,0.05,0
0.05,0.06,0.06,0.03,0.27,1.1,6.34,3.7,1.26,0.54,0.08,0.05,19.55,0.54,0.06,0
1.86,0.001,0.69,0.04,5.65,39.06,7.51,4.94,3.79,0.0,0.4,0.04,10.48,0.0,0.01,1
4.56,0.008,0.12,0.03,1.33,31.89,1.2,14.68,3.44,0.0,0.4,0.02,26.79,0.0,0.07,0
0.09,0.06,0.02,0.06,0.06,0.07,4.16,4.08,0.12,0.0,0.01,0.04,23.77,0.003,0.08,1
0.03,0.04,0.09,0.02,0.17,1.36,0.65,13.07,0.95,0.0,0.06,0.06,9.46,0.56,0.07,0
0.02,0.01,0.07,0.04,0.04,0.19,2.95,4.0,0.19,0.42,0.08,0.02,4.2,0.002,0.06,0
3.31,0.002,0.45,0.04,1.57,8.41,3.22,18.64,1.36,0.5,0.32,0.05,19.49,0.5,0.04,1
3.93,0.001,0.83,0.04,7.93,1.05,4.45,6.14,0.64,0.4,0.17,0.02,27.3,0.008,0.03,1
2.11,0.009,0.88,0.02,7.78,19.4,1.14,17.86,0.88,0.85,0.4,0.1,17.03,0.85,0.01,1
0.01,0.0,0.09,0.04,0.28,1.63,1.46,0.48,0.87,0.22,0.09,0.01,1.37,0.005,0.05,0
0.05,0.001,0.03,0.03,4.08,43.79,0.56,0.37,0.3,0.6,0.21,0.06,10.11,0.6,0.03,0
4.71,0.007,0.82,0.05,1.54,6.92,2.54,2.0,3.28,0.28,0.44,0.08,26.4,0.002,0.07,1
4.49,0.002,0.29,0.01,7.43,45.28,0.8,4.94,3.28,0.54,0.4,0.04,3.08,0.54,0.03,1
0.01,0.09,0.02,0.02,0.1,4.26,6.46,17.62,1.64,0.0,0.0,0.03,14.82,0.001,0.0,0
2.88,0.05,0.42,0.21,4.49,31.16,4.4,9.41,2.29,0.0,0.45,0.02,22.25,0.93,0.05,0
2.71,0.07,0.59,0.35,2.06,30.22,0.4,9.1,3.61,0.66,0.08,0.0,17.92,0.66,0.03,1
0.02,0.04,0.1,0.37,2.22,53.96,3.69,17.74,3.74,0.91,0.37,0.04,21.05,0.91,0.0,0
0.1,0.003,0.52,0.01,1.22,18.52,0.05,18.49,2.13,0.61,0.05,0.03,25.21,0.61,0.02,1
0.0,0.08,0.03,0.03,0.08,0.24,0.81,2.31,0.82,0.0,0.08,0.01,25.93,0.004,0.0,0
1.25,0.008,0.84,0.03,6.56,26.65,6.98,4.07,1.09,0.0,0.18,0.03,19.22,0.0,0.04,1
0.34,0.001,0.05,0.02,7.43,38.2,0.53,16.9,1.79,0.61,0.06,0.0,5.1,0.61,0.01,1
2.82,0.004,0.38,0.04,4.78,30.01,7.67,9.73,3.95,0.89,0.5,0.05,7.2,0.89,0.06,1
0.39,0.006,0.65,0.05,7.44,25.23,2.86,4.86,3.75,0.75,0.23,0.01,12.69,0.75,0.07,1
0.03,0.04,0.02,0.05,0.05,1.44,5.41,19.07,0.34,0.0,0.04,0.02,16.07,0.59,0.08,0
1.6,0.13,0.16,0.28,7.98,30.67,6.38,16.06,3.53,0.0,0.27,0.01,16.06,0.52,0.0,0
0.6,0.005,0.77,0.01,3.14,23.43,4.99,14.66,0.71,0.35,0.25,0.08,24.58,0.002,0.08,1
0.09,0.001,0.32,0.01,7.91,4.59,1.04,4.38,0.78,1.0,0.04,0.06,28.24,1.0,0.03,1
4.72,0.005,0.24,0.02,4.55,41.66,3.64,1.4,1.14,0.54,0.37,0.05,7.28,0.54,0.05,1
0.0,0.05,0.06,0.71,7.42,48.29,7.24,15.54,1.38,0.55,0.49,0.04,28.43,0.55,0.06,0
0.25,0.006,0.85,0.03,5.83,21.46,5.19,3.33,0.62,0.49,0.08,0.04,24.86,0.003,0.08,0
0.32,0.008,0.76,0.04,0.34,20.36,4.91,1.48,3.46,0.0,0.36,0.01,28.36,0.0,0.02,1
0.1,0.03,0.03,0.07,0.38,0.04,3.21,9.11,0.59,0.0,0.02,0.01,11.8,0.0,0.0,1
0.53,0.001,0.26,0.001,1.51,29.27,5.69,4.0,2.19,0.42,0.28,0.02,4.86,0.002,0.06,1
0.12,0.03,0.38,0.41,1.37,44.59,2.97,0.83,0.97,0.25,0.1,0.06,17.45,0.007,0.02,1
0.05,0.002,0.43,0.001,7.89,53.71,5.84,7.14,0.47,0.92,0.38,0.02,19.31,0.92,0.09,0
4.21,0.008,0.03,0.01,2.26,1.02,7.9,2.71,3.94,0.28,0.28,0.04,17.84,0.005,0.03,1
0.07,0.05,0.08,0.01,0.3,4.12,1.05,7.72,0.49,0.0,0.01,0.07,14.0,0.007,0.01,1
0.04,0.09,0.03,0.02,0.32,4.12,0.86,7.67,0.65,0.0,0.07,0.07,22.22,0.94,0.03,0
2.55,0.004,0.82,0.04,7.7,11.0,1.53,10.09,2.8,0.77,0.27,0.01,20.81,0.77,0.06,1
0.07,0.08,0.07,0.05,0.01,6.77,4.2,19.27,0.24,0.0,0.02,0.04,20.8,0.0,0.08,0
0.0,0.08,0.07,0.0,0.45,0.62,3.76,14.33,1.85,0.0,0.06,0.02,0.72,0.0,0.06,0
0.09,0.007,0.2,0.04,5.61,8.7,3.22,8.83,3.16,0.72,0.07,0.06,25.93,0.72,0.09,1
3.67,0.007,0.08,0.02,1.36,9.83,6.17,2.19,3.81,0.0,0.07,0.01,27.89,0.0,0.07,1
0.02,0.03,0.04,0.02,0.06,4.38,2.58,8.72,0.53,0.68,0.04,0.04,28.76,0.68,0.02,0
0.1,0.06,0.08,0.02,0.12,11.65,0.31,13.75,0.4,0.0,0.01,0.07,23.25,0.003,0.08,0
0.01,0.12,0.89,0.21,6.12,44.17,2.69,5.31,1.84,0.72,0.49,0.09,3.72,0.72,0.0,0
2.55,0.006,0.07,0.05,7.48,52.24,0.97,16.37,0.52,0.0,0.23,0.03,23.92,0.0,0.06,0
1.82,0.006,0.25,0.01,2.55,44.76,1.15,16.99,0.85,0.16,0.26,0.08,6.81,0.002,0.08,1
2.24,0.006,0.64,0.03,5.6,12.64,4.39,13.07,0.18,0.0,0.34,0.06,9.56,0.0,0.07,1
0.08,0.03,0.05,0.06,0.01,1.13,0.1,0.31,0.52,0.75,0.01,0.0,26.02,0.75,0.05,0
0.24,0.009,0.67,0.001,4.99,16.21,0.01,16.74,0.79,0.1,0.02,0.08,26.65,0.008,0.02,1
0.0,0.1,0.88,0.53,6.34,17.87,7.71,7.17,3.79,0.57,0.09,0.09,28.45,0.57,0.04,0
2.21,0.007,0.11,0.03,4.1,28.03,0.15,17.85,1.47,0.31,0.33,0.05,18.61,0.005,0.08,1
0.08,0.04,0.05,0.0,0.01,5.61,3.97,9.99,0.17,0.0,0.02,0.01,11.68,0.0,0.0,1
0.01,0.008,0.32,0.05,1.84,17.62,2.08,17.93,0.34,0.21,0.11,0.06,25.54,0.005,0.05,0
0.09,0.05,0.0,0.01,0.02,7.09,0.09,16.71,0.89,0.77,0.01,0.05,23.55,0.77,0.06,0
0.22,0.09,0.2,0.9,0.32,8.81,3.55,16.03,4.28,0.61,0.04,0.07,10.96,0.61,0.03,1
0.05,0.03,0.02,0.06,0.07,2.08,1.8,4.62,0.4,0.0,0.09,0.07,29.28,0.005,0.02,1
1.6,0.12,0.03,0.2,7.76,11.71,2.42,8.02,3.41,0.26,0.26,0.09,11.2,0.005,0.02,0
0.09,0.005,0.25,0.04,1.99,27.44,4.6,5.88,0.61,0.34,0.04,0.06,21.12,0.005,0.01,1
2.97,0.1,0.21,0.55,2.35,46.91,0.87,15.45,3.31,0.0,0.27,0.03,12.39,0.001,0.05,0
0.01,0.04,0.06,0.09,0.03,0.45,0.15,7.49,1.52,0.52,0.06,0.08,26.26,0.52,0.05,0
0.06,0.06,0.08,0.07,0.0,0.17,0.08,15.03,0.52,0.0,0.03,0.06,11.66,0.73,0.02,0
2.45,0.001,0.06,0.03,1.82,4.79,0.7,13.11,0.78,0.0,0.23,0.01,12.38,0.0,0.07,1
0.05,0.05,0.0,0.03,0.26,2.14,0.12,6.32,1.73,0.5,0.07,0.1,9.19,0.5,0.01,0
1.56,0.12,0.88,0.53,5.79,44.68,2.3,16.16,0.84,0.0,0.0,0.07,0.04,0.0,0.0,1
0.0,0.002,0.89,0.02,4.26,56.24,4.06,11.95,2.4,0.29,0.3,0.06,16.81,0.0,0.07,0
0.31,0.004,0.54,0.04,4.59,25.36,1.84,8.5,0.48,0.0,0.11,0.02,1.91,0.0,0.0,1
0.07,0.03,0.08,0.09,0.29,0.46,3.2,14.77,0.34,0.04,0.06,0.03,23.39,0.003,0.03,0
0.04,0.05,0.69,0.39,2.77,27.38,2.41,7.51,0.3,0.13,0.06,0.02,24.23,0.001,0.02,1
2.83,0.11,0.47,0.75,6.31,23.45,4.91,17.38,0.23,0.0,0.17,0.01,3.04,0.0,0.08,0
4.82,0.007,0.08,0.001,2.98,1.49,3.44,2.29,2.52,0.89,0.22,0.01,20.75,0.89,0.02,1
0.1,0.06,0.08,0.1,0.19,6.54,0.73,0.52,0.01,0.77,0.08,0.06,29.71,0.77,0.04,0
3.61,0.05,0.08,0.24,4.8,24.15,2.73,6.07,1.32,0.17,0.19,0.03,21.65,0.001,0.0,0
0.08,0.06,0.06,0.08,0.19,0.49,0.57,14.12,0.68,0.0,0.05,0.05,7.94,0.0,0.07,0
0.08,0.02,0.06,0.06,0.4,0.35,0.88,6.92,1.16,0.8,0.01,0.05,23.62,0.8,0.06,0
0.12,0.13,0.8,0.68,5.72,31.6,4.21,19.75,0.51,0.62,0.07,0.06,12.21,0.62,0.02,1
1.44,0.006,0.19,0.03,3.04,21.67,6.36,14.03,1.68,0.65,0.4,0.09,5.52,0.65,0.04,1
3.52,0.003,0.54,0.02,1.07,12.23,2.42,13.92,2.77,0.0,0.23,0.05,23.9,0.0,0.0,1
0.09,0.09,0.0,0.03,0.57,11.32,0.25,5.22,0.92,0.23,0.01,0.09,26.4,0.004,0.05,0
3.78,0.006,0.7,0.05,6.6,35.36,3.09,18.77,0.76,0.7,0.38,0.02,19.17,0.7,0.02,0
0.01,0.07,0.07,0.05,0.09,0.14,2.3,9.14,0.57,0.0,0.05,0.02,16.13,0.004,0.04,1
5.0,0.005,0.19,0.05,0.09,18.43,7.85,3.11,2.42,0.8,0.05,0.06,19.45,0.8,0.08,1
3.73,0.004,0.61,0.02,6.99,27.75,3.12,1.2,0.25,0.86,0.05,0.09,25.53,0.86,0.03,1
0.01,0.06,0.04,0.04,0.4,3.56,2.12,9.61,0.67,0.43,0.09,0.07,23.88,0.0,0.01,0
